variable	NSGAII(0)	NSGAII(1)	NSGAII(2)	NSGAII(3)	NSGAII(4)
HIDE_WIN_STATUS	4.192663810854445	-2.0139104922973576	-4.154135575383125	-4.031996875451284	-4.055315052293622
OBFUSCATING_COMMENT	0.04329832693777762	-3.512498943342395	-3.5899762011948573	-3.5899762011948573	-2.6533938626781404
SUSPICIOUS_RECIPS	-3.8844630421854394	2.6920066646998864	3.2262706982431695	2.8366990735880817	2.532513229878127
ADVANCE_FEE_2	0.17868379858656502	0.7902100299541237	4.819641432542315	4.819641432542315	4.670228594445655
FORGED_MUA_IMS	-2.590261972295142	3.8344803785526222	3.851207488586507	3.893816660703513	3.9542582575538425
HTML_EXTRA_CLOSE	1.1619864937124376	-0.012588469577806682	2.0832106844527924	-0.07282524599856255	-0.06656265448940935
SUBJECT_DIET	-4.340993268034329	3.571556741683207	4.565784094667984	3.655186036213801	2.9129136576595034
EXCUSE_REMOVE	4.145072045082532	2.397669773539286	3.203757418675655	3.203757418675655	2.346634327462591
FREEMAIL_FORGED_REPLYTO	-0.5414297983239842	-2.992305448237138	-2.846900529960304	-2.8620317019437063	-2.8482858925762478
EXCUSE_24	0.7787729593816868	4.003912453154285	4.014958516791781	4.064814764136924	3.126398283687871
TRACKER_ID	1.0534885888774363	2.0868328276579975	0.8813325986592967	0.9654382179965816	0.9036818273901855
SUBJ_ILLEGAL_CHARS	2.9686505557192233	3.9168539113725322	3.844142217333072	3.844603363140514	3.9203406544947086
FILL_THIS_FORM_LOAN	3.0770981826237795	4.050916018360277	0.3945997202753612	0.5495272964339283	0.38297592083304655
T_FILL_THIS_FORM	3.227194707208593	3.0438170684055956	3.044976913779182	3.044976913779182	3.042763657917695
HTML_FONT_SIZE_HUGE	4.7247130395472015	0.5712669042584684	0.07193435875880849	0.6284329665237195	0.7431768809272292
DATE_IN_FUTURE_24_48	2.029186511539248	-4.420792238839419	-3.137079456409866	-3.191011865590407	-3.2172568394994396
FORGED_MUA_EUDORA	0.6151792881701608	-4.861280239919113	-4.385799432164185	-4.281661239974658	-4.278367617308859
RATWARE_EGROUPS	-2.111504143574697	0.32509148658417025	0.3892043190085611	0.31815105036920394	0.3228251114760376
EXCUSE_4	-3.4195574662618546	-1.6380471154392406	2.569100207877237	2.569100207877237	-1.9445609398938812
FUZZY_CREDIT	0.10731358773095759	-1.4533205920857293	-1.400139555060113	-1.4540260222624417	-1.4533128406108518
HTML_IMAGE_ONLY_08	3.2557347943543316	1.7481098578373115	1.6591891764843667	1.7520086141461442	0.9946148622966198
URIBL_DBL_SPAM	1.4064413768900397	-0.38499326649250665	-1.058266976241354	-1.0543401316430332	-1.0475262769766769
FM_SUBJ_APPROVE	4.2472492429330115	-3.5320021870974614	-4.217650398539986	-3.5817396944441366	-3.582343571918291
MIME_BASE64_BLANKS	4.608489437047703	2.236903306680285	2.495846805249677	2.541720670651421	2.2518639244292173
WEIRD_QUOTING	1.4032277260387553	4.631739461242185	4.470930199916885	3.5438206277127033	3.8326463384468887
